M,N,K,latency_ns
8,4096,512,20480.00
8,4096,1024,21504.00
8,4096,2048,22528.00
8,4096,3072,25600.00
8,4096,4096,33792.00
8,4096,5120,50176.00
8,4096,8192,66560.00
8,4096,11008,82944.00
8,4096,13824,98304.00
8,4096,14336,101376.00
8,4096,25600,167936.00
8,4096,27648,180224.00
8,4096,28672,186368.00
8,5120,128,21504.00
8,5120,256,20992.00
8,5120,512,20480.00
8,5120,1024,21504.00
8,5120,2048,23552.00
8,5120,3072,27648.00
8,5120,4096,44032.00
8,5120,5120,57344.00
8,5120,8192,78848.00
8,5120,11008,98304.00
8,5120,13824,117760.00
8,5120,14336,121856.00
8,5120,25600,205824.00
8,5120,27648,220159.99
8,5120,28672,228352.00
8,8192,128,21504.00
8,8192,256,20480.00
8,8192,512,21504.00
8,8192,1024,21504.00
8,8192,2048,33792.00
8,8192,3072,49152.00
8,8192,4096,61952.00
8,8192,5120,73728.00
8,8192,8192,110592.00
8,8192,11008,144384.00
8,8192,13824,177151.99
8,8192,14336,183295.99
8,8192,25600,316416.00
8,8192,27648,339968.00
8,8192,28672,351744.00
8,11008,128,20480.00
8,11008,256,20480.00
8,11008,512,20992.00
8,11008,1024,21504.00
8,11008,2048,46080.00
8,11008,3072,62464.00
8,11008,4096,78336.00
8,11008,5120,94208.00
8,11008,8192,144384.00
8,11008,11008,188416.00
8,11008,13824,233472.00
8,11008,14336,241664.01
8,11008,25600,415744.01
8,11008,27648,447488.01
8,11008,28672,462848.01
8,13824,128,20480.00
8,13824,256,20480.00
8,13824,512,20480.00
8,13824,1024,21504.00
8,13824,2048,55296.00
8,13824,3072,73728.00
8,13824,4096,93184.00
8,13824,5120,112640.00
8,13824,8192,169984.00
8,13824,11008,243711.99
8,13824,13824,293888.00
8,13824,14336,302592.01
8,13824,25600,515071.99
8,13824,27648,553983.99
8,13824,28672,572416.01
8,14336,128,21504.00
8,14336,256,21504.00
8,14336,512,22528.00
8,14336,1024,28672.00
8,14336,2048,56320.00
8,14336,3072,77824.00
8,14336,4096,99328.00
8,14336,5120,120832.00
8,14336,8192,184320.00
8,14336,11008,242688.00
8,14336,13824,301056.00
8,14336,14336,312319.99
8,14336,25600,545279.98
8,14336,27648,587776.01
8,14336,28672,608255.98
8,25600,128,21504.00
8,25600,256,21504.00
8,25600,512,22528.00
8,25600,1024,54272.00
8,25600,2048,89088.00
8,25600,3072,124928.00
8,25600,4096,161792.00
8,25600,5120,197632.00
8,25600,8192,319487.99
8,25600,11008,418816.00
8,25600,13824,519168.02
8,25600,14336,536575.97
8,25600,25600,934912.03
8,25600,27648,1007616.04
8,25600,28672,1041919.95
8,27648,128,21504.00
8,27648,256,21504.00
8,27648,512,23552.00
8,27648,1024,56320.00
8,27648,2048,95232.00
8,27648,3072,133120.00
8,27648,4096,172032.00
8,27648,5120,226303.99
8,27648,8192,343039.99
8,27648,11008,451584.01
8,27648,13824,559104.03
8,27648,14336,580608.01
8,27648,25600,1008640.05
8,27648,27648,1088000.00
8,27648,28672,1126912.00
8,28672,128,21504.00
8,28672,256,22528.00
8,28672,512,27648.00
8,28672,1024,66560.00
8,28672,2048,106496.00
8,28672,3072,150528.00
8,28672,4096,200703.99
8,28672,5120,243711.99
8,28672,8192,363007.99
8,28672,11008,471040.01
8,28672,13824,578559.99
8,28672,14336,598016.02
8,28672,25600,1045503.97
8,28672,27648,1123327.97
8,28672,28672,1162240.03
16,128,128,20480.00
