M,N,K,latency_ns
8,13824,28672,269535.99
8,14336,128,14848.00
8,14336,256,14736.00
8,14336,512,15792.00
8,14336,1024,18048.00
8,14336,2048,31712.00
8,14336,3072,40992.00
8,14336,4096,50944.00
8,14336,5120,63248.00
8,14336,8192,87040.00
8,14336,11008,116256.00
8,14336,13824,142656.00
8,14336,14336,150512.00
8,14336,25600,252736.00
8,14336,27648,271024.00
8,14336,28672,280272.01
8,25600,128,14768.00
8,25600,256,15216.00
8,25600,512,16976.00
8,25600,1024,29760.00
8,25600,2048,45936.00
8,25600,3072,62384.00
8,25600,4096,79344.00
8,25600,5120,95840.00
8,25600,8192,149823.99
8,25600,11008,203952.00
8,25600,13824,245840.00
8,25600,14336,252352.00
8,25600,25600,430576.00
8,25600,27648,462720.01
8,25600,28672,479120.00
8,27648,128,14944.00
8,27648,256,15776.00
8,27648,512,17312.00
8,27648,1024,31152.00
8,27648,2048,48272.00
8,27648,3072,65712.00
8,27648,4096,83744.00
8,27648,5120,101104.00
8,27648,8192,160176.00
8,27648,11008,212576.00
8,27648,13824,261375.99
8,27648,14336,270320.00
8,27648,25600,466352.00
8,27648,27648,500671.98
8,27648,28672,518303.99
8,28672,128,15008.00
8,28672,256,15728.00
8,28672,512,17760.00
8,28672,1024,31520.00
8,28672,2048,50736.00
8,28672,3072,68480.00
8,28672,4096,88368.00
8,28672,5120,106000.00
8,28672,8192,163776.00
8,28672,11008,218256.00
8,28672,13824,270864.01
8,28672,14336,281968.00
8,28672,25600,489968.00
8,28672,27648,525439.98
8,28672,28672,542591.99
16,128,128,14912.00
16,128,256,14848.00
16,128,512,14752.00
16,128,1024,14704.00
16,128,2048,15680.00
16,128,3072,16944.00
16,128,4096,17008.00
16,128,5120,16640.00
16,128,8192,17072.00
16,128,11008,17072.00
16,128,13824,17184.00
16,128,14336,17056.00
16,128,25600,17136.00
16,128,27648,17328.00
16,128,28672,17488.00
16,256,128,14832.00
16,256,256,14864.00
16,256,512,14848.00
16,256,1024,14688.00
16,256,2048,15744.00
16,256,3072,16928.00
16,256,4096,16944.00
16,256,5120,16880.00
16,256,8192,16752.00
16,256,11008,16848.00
16,256,13824,16832.00
16,256,14336,16864.00
16,256,25600,17648.00
16,256,27648,17712.00
16,256,28672,17600.00
16,512,128,14848.00
16,512,256,14912.00
16,512,512,14816.00
16,512,1024,14992.00
16,512,2048,15568.00
16,512,3072,17008.00
16,512,4096,17088.00
16,512,5120,16928.00
16,512,8192,16800.00
16,512,11008,16928.00
16,512,13824,16992.00
16,512,14336,17120.00
16,512,25600,18560.00
16,512,27648,18528.00
16,512,28672,18880.00
16,1024,128,14832.00
16,1024,256,14864.00
16,1024,512,14656.00
16,1024,1024,14720.00
16,1024,2048,15712.00
16,1024,3072,16928.00
16,1024,4096,16672.00
16,1024,5120,17024.00
16,1024,8192,17376.00
16,1024,11008,18016.00
16,1024,13824,19104.00
16,1024,14336,18512.00
16,1024,25600,31296.00
16,1024,27648,32848.00
16,1024,28672,33344.00
16,2048,128,14864.00
16,2048,256,14976.00
16,2048,512,14896.00
16,2048,1024,14944.00
16,2048,2048,15744.00
16,2048,3072,16784.00
16,2048,4096,17728.00
16,2048,5120,17664.00
16,2048,8192,19328.00
16,2048,11008,27616.00
16,2048,13824,32800.00
16,2048,14336,33408.00
16,2048,25600,48064.00
16,2048,27648,50288.00
16,2048,28672,51696.00
16,3072,128,15008.00
16,3072,256,14880.00
16,3072,512,14768.00
16,3072,1024,14784.00
16,3072,2048,15648.00
16,3072,3072,17184.00
16,3072,4096,18272.00
16,3072,5120,19408.00
16,3072,8192,30800.00
16,3072,11008,36416.00
16,3072,13824,42576.00
16,3072,14336,43280.00
16,3072,25600,65456.00
16,3072,27648,69536.00
16,3072,28672,71360.00
16,4096,128,14976.00
16,4096,256,14944.00
16,4096,512,14896.00
16,4096,1024,15008.00
16,4096,2048,15744.00
16,4096,3072,17472.00
16,4096,4096,18976.00
16,4096,5120,24336.00
16,4096,8192,36080.00
16,4096,11008,43248.00
16,4096,13824,50352.00
16,4096,14336,51968.00
16,4096,25600,82160.00
16,4096,27648,87680.00
16,4096,28672,89328.00
16,5120,128,14848.00
16,5120,256,14816.00
16,5120,512,14816.00
16,5120,1024,14944.00
16,5120,2048,16096.00
16,5120,3072,18000.00
16,5120,4096,23568.00
16,5120,5120,29776.00
16,5120,8192,41760.00
16,5120,11008,50784.00
16,5120,13824,60384.00
16,5120,14336,62208.00
16,5120,25600,99456.00
16,5120,27648,106000.00
16,5120,28672,110816.00
16,8192,128,14832.00
16,8192,256,14960.00
16,8192,512,14864.00
16,8192,1024,15616.00
16,8192,2048,18176.00
16,8192,3072,29040.00
16,8192,4096,34368.00
16,8192,5120,39792.00
16,8192,8192,55264.00
16,8192,11008,69712.00
16,8192,13824,84128.00
16,8192,14336,86496.00
16,8192,25600,147440.00
16,8192,27648,158048.00
16,8192,28672,163312.00
16,11008,128,14752.00
16,11008,256,14704.00
16,11008,512,14832.00
16,11008,1024,16624.00
16,11008,2048,26224.00
16,11008,3072,34128.00
16,11008,4096,43184.00
16,11008,5120,51552.00
16,11008,8192,77008.00
16,11008,11008,100528.00
16,11008,13824,119200.00
16,11008,14336,121360.00
16,11008,25600,200704.00
16,11008,27648,213471.99
16,11008,28672,224640.00
16,13824,128,15072.00
16,13824,256,15008.00
16,13824,512,15616.00
16,13824,1024,17360.00
16,13824,2048,31104.00
16,13824,3072,39472.00
16,13824,4096,48160.00
16,13824,5120,57200.00
16,13824,8192,86048.00
16,13824,11008,111184.00
16,13824,13824,138368.00
16,13824,14336,147216.00
16,13824,25600,246672.00
16,13824,27648,268704.00
16,13824,28672,269968.00
16,14336,128,14928.00
16,14336,256,14976.00
16,14336,512,15872.00
16,14336,1024,18080.00
16,14336,2048,32128.00
16,14336,3072,43344.00
16,14336,4096,52656.00
16,14336,5120,62688.00
16,14336,8192,90544.00
16,14336,11008,116928.00
16,14336,13824,143360.00
16,14336,14336,149408.00
