128,11,2,8,8,os,511,8.611
1,10,256,8,8,os,539,7.421
1,5,128,8,8,os,141,7.092
1,10,128,8,8,os,283,7.067
1,5,256,8,8,os,269,7.435
1,10,64,8,8,os,155,6.452
1,3,256,8,8,os,269,4.461
1,5,64,8,8,os,77,6.494
1,10,32,8,8,os,91,5.495
1,3,128,8,8,os,141,4.255
1,5,32,8,8,os,45,5.556
1,10,16,8,8,os,59,4.237
1,3,64,8,8,os,77,3.896
1,5,16,8,8,os,29,4.310
1,10,8,8,8,os,43,2.907
1,3,32,8,8,os,45,3.333
1,5,8,8,8,os,21,2.976
1,10,4,8,8,os,35,1.786
1,3,16,8,8,os,29,2.586
1,5,4,8,8,os,17,1.838
1,10,2,8,8,os,31,1.008
1,3,8,8,8,os,21,1.786
1,5,2,8,8,os,15,1.042
1,10,1,8,8,os,29,0.539
1,3,4,8,8,os,17,1.103
1,21,64,8,8,os,233,9.013
1,42,64,8,8,os,467,8.994
1,21,128,8,8,os,425,9.882
1,42,32,8,8,os,275,7.636
1,11,128,8,8,os,283,7.774
1,21,32,8,8,os,137,7.664
1,42,16,8,8,os,179,5.866
1,11,64,8,8,os,155,7.097
1,21,16,8,8,os,89,5.899
1,42,8,8,8,os,131,4.008
1,11,32,8,8,os,91,6.044
1,21,8,8,8,os,65,4.038
1,42,4,8,8,os,107,2.453
1,11,16,8,8,os,59,4.661
1,21,4,8,8,os,53,2.476
1,42,2,8,8,os,95,1.382
1,11,8,8,8,os,43,3.198
1,21,2,8,8,os,47,1.396
1,42,1,8,8,os,89,0.737
1,11,4,8,8,os,35,1.964
8,21,76,8,8,os,269,74.164
32,11,38,8,8,os,415,50.361
16,21,38,8,8,os,311,64.148
16,11,76,8,8,os,359,58.217
32,21,19,8,8,os,395,50.506
32,6,76,8,8,os,359,63.510
8,21,128,8,8,os,425,79.059
32,11,64,8,8,os,623,56.501
16,21,64,8,8,os,467,71.949
16,11,128,8,8,os,567,62.081
8,21,64,8,8,os,233,72.103
8,21,12,8,8,os,77,40.909
32,11,32,8,8,os,367,47.956
32,11,6,8,8,os,159,20.755
16,21,32,8,8,os,275,61.091
16,21,6,8,8,os,119,26.471
16,11,64,8,8,os,311,56.592
16,11,12,8,8,os,103,32.039
32,21,3,8,8,os,203,15.517
32,6,12,8,8,os,103,34.951
8,21,32,8,8,os,137,61.314
32,11,16,8,8,os,239,36.820
16,21,16,8,8,os,179,46.927
16,11,32,8,8,os,183,48.087
8,21,16,8,8,os,89,47.191
