"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","dram__bytes_read.sum","dram__bytes_write.sum","gpu__time_duration.avg"
"","","","","","","","","","","","Mbyte","Mbyte","us"
"1188","3625558","python3.13","127.0.0.1","void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(8192, 1, 1)","0","8.0","8.401664","0.016000","15.168000"
"1189","3625558","python3.13","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.0","8.393600","0.001408","10.176000"
"1190","3625558","python3.13","127.0.0.1","void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(4096, 1, 1)","0","8.0","4.222336","0.000000","15.264000"
"1191","3625558","python3.13","127.0.0.1","void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_bf16_64x64_64x6_tn_align8>(T1::Params)","1","7","(128, 1, 1)","(8, 1, 8)","0","8.0","4.280704","0.000000","9.952000"
"1192","3625558","python3.13","127.0.0.1","void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, 0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, 1, 0, 0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)","1","7","(32, 16, 1)","(1, 32, 1)","0","8.0","0.139008","0.000000","4.384000"
"1193","3625558","python3.13","127.0.0.1","void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<1>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)","1","7","(128, 1, 1)","(8, 1, 1)","0","8.0","0.040320","0.000000","7.872000"
"1194","3625558","python3.13","127.0.0.1","void <unnamed>::softmax_warp_forward<float, float, float, 3, 0, 0>(T2 *, const T1 *, int, int, int, const bool *, int, bool)","1","7","(8, 16, 1)","(16, 1, 1)","0","8.0","0.022656","0.000000","3.968000"
"1195","3625558","python3.13","127.0.0.1","void sbtopk::gatherTopK<float, unsigned int, 2, 0>(detail::TensorInfo<const T1, T2>, T2, T2, bool, T2, T2, detail::TensorInfo<T1, T2>, T2, detail::TensorInfo<long, T2>, T2, T1 *)","1","7","(32, 1, 1)","(512, 1, 1)","0","8.0","0.035072","0.000000","14.016000"
"1196","3625558","python3.13","127.0.0.1","void at::bitonicSortKVInPlace<2, (int)-1, 16, 16, float, long, at::GTOp<float, 1>, unsigned int>(detail::TensorInfo<T5, T8>, T8, T8, T8, detail::TensorInfo<T6, T8>, T8, T7)","1","7","(16, 1, 1)","(512, 1, 1)","0","8.0","0.028928","0.000000","10.848000"
"1197","3625558","python3.13","127.0.0.1","void at::reduce_kernel<512, 1, at::ReduceOp<float, at::func_wrapper_t<float, at::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, 4, 4>>(T3)","1","7","(2, 256, 1)","(2, 1, 1)","0","8.0","0.054912","0.000000","7.200000"
"1198","3625558","python3.13","127.0.0.1","void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, float, binary_internal::DivFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(4, 1, 1)","0","8.0","0.019328","0.000000","5.344000"
