M,N,K,measured_ms
2.0,3072.0,16384.0,0.050112
2.0,3584.0,1024.0,0.017952
2.0,3584.0,2048.0,0.017888
2.0,3584.0,2880.0,0.018752
2.0,3584.0,3072.0,0.01872
2.0,3584.0,3584.0,0.04026
2.0,3584.0,4096.0,0.01984
2.0,3584.0,5120.0,0.021408
2.0,3584.0,6144.0,0.031296
2.0,3584.0,7168.0,0.034432
2.0,3584.0,8192.0,0.036864
2.0,3584.0,10240.0,0.041632
2.0,3584.0,12288.0,0.046656
2.0,3584.0,14336.0,0.03949
2.0,3584.0,16384.0,0.06016
2.0,3584.0,18944.0,0.04006
2.0,3600.0,2880.0,0.04448
2.0,4096.0,1024.0,0.017792
2.0,4096.0,2048.0,0.017888
2.0,4096.0,2880.0,0.018784
2.0,4096.0,3072.0,0.018848
2.0,4096.0,3584.0,0.019424
2.0,4096.0,4096.0,0.04445
2.0,4096.0,5120.0,0.023904
2.0,4096.0,6144.0,0.029888
2.0,4096.0,7168.0,0.037536
2.0,4096.0,8192.0,0.039776
2.0,4096.0,10240.0,0.045536
2.0,4096.0,12288.0,0.04435
2.0,4096.0,12800.0,0.04451
2.0,4096.0,14336.0,0.04451
2.0,4096.0,16384.0,0.060288
2.0,4608.0,3584.0,0.04448
2.0,5120.0,1024.0,0.01792
2.0,5120.0,2048.0,0.018912
2.0,5120.0,2880.0,0.019712
2.0,5120.0,3072.0,0.02
2.0,5120.0,3584.0,0.02096
2.0,5120.0,4096.0,0.025248
2.0,5120.0,5112.0,0.04477
2.0,5120.0,5120.0,0.030784
2.0,5120.0,6144.0,0.034048
2.0,5120.0,7168.0,0.03744
2.0,5120.0,8192.0,0.0408
2.0,5120.0,10240.0,0.047616
2.0,5120.0,12288.0,0.05456
2.0,5120.0,14336.0,0.061504
2.0,5120.0,16384.0,0.068288
2.0,5120.0,17408.0,0.0647
2.0,6144.0,1024.0,0.018016
2.0,6144.0,2048.0,0.019296
2.0,6144.0,2880.0,0.02144
2.0,6144.0,3072.0,0.021952
2.0,6144.0,3584.0,0.028352
2.0,6144.0,4096.0,0.06566
