M,N,K,op_type
4096,14336,3584,gate
4096,14336,3584,up
4096,14336,4096,gate
4096,14336,4096,up
4096,17408,5120,gate
4096,17408,5120,up
4096,18944,3584,gate
4096,18944,3584,up
4096,20480,7168,gate
4096,20480,7168,up
4096,28672,8192,gate
4096,28672,8192,up
4096,29568,8192,gate
4096,29568,8192,up
4096,32000,4096,lm_head
4096,49155,4096,lm_head
4096,64000,7168,lm_head
4096,128256,4096,lm_head
4096,128256,8192,lm_head
4096,131072,2880,lm_head
4096,152064,3584,lm_head
4096,152064,8192,lm_head
4096,248320,4096,lm_head
4096,248320,5120,lm_head
4096,256000,3584,lm_head
8192,2880,2880,o_proj
8192,3584,3584,o_proj
8192,3584,14336,down
8192,3584,18944,down
8192,3600,2880,qkv
8192,4096,4096,o_proj
8192,4096,12288,down
8192,4096,12800,down
8192,4096,14336,down
8192,4608,3584,qkv
8192,5120,5112,o_proj
8192,5120,17408,down
8192,6144,4096,qkv
8192,6816,5120,qkv
8192,7168,3584,qkv
8192,7168,7168,o_proj
8192,7168,20480,down
8192,8192,8192,o_proj
8192,8192,28672,down
8192,8192,29568,down
8192,9216,7168,qkv
8192,10240,8192,qkv
8192,12288,4096,gate
8192,12288,4096,up
8192,12800,4096,gate
8192,12800,4096,up
8192,14336,3584,gate
8192,14336,3584,up
8192,14336,4096,gate
8192,14336,4096,up
8192,17408,5120,gate
8192,17408,5120,up
8192,18944,3584,gate
8192,18944,3584,up
8192,20480,7168,gate
8192,20480,7168,up
8192,28672,8192,gate
8192,28672,8192,up
8192,29568,8192,gate
8192,29568,8192,up
8192,32000,4096,lm_head
8192,49155,4096,lm_head
8192,64000,7168,lm_head
8192,128256,4096,lm_head
8192,128256,8192,lm_head
8192,131072,2880,lm_head
8192,152064,3584,lm_head
8192,152064,8192,lm_head
8192,248320,4096,lm_head
8192,248320,5120,lm_head
8192,256000,3584,lm_head
