gpu,model,held_out,op,bs,seq,n_tokens,kv_cache_len,d,h,kv,ffn,E,k,duration_us
A100,Llama-3.3-70B,True,ffn,4,512,2048,0,8192,64,8,28672,1,1,11261.952
A100,Llama-3.3-70B,True,norm_pre,4,512,2048,0,8192,64,8,28672,1,1,546.815
A100,Llama-3.3-70B,True,norm_post,4,512,2048,0,8192,64,8,28672,1,1,535.552
A100,Llama-3.3-70B,True,attn,8,128,1024,0,8192,64,8,28672,1,1,1665.024
A100,Llama-3.3-70B,True,ffn,8,128,1024,0,8192,64,8,28672,1,1,5870.592
A100,Llama-3.3-70B,True,norm_pre,8,128,1024,0,8192,64,8,28672,1,1,290.816
A100,Llama-3.3-70B,True,norm_post,8,128,1024,0,8192,64,8,28672,1,1,277.503
A100,Llama-3.3-70B,True,attn,8,256,2048,0,8192,64,8,28672,1,1,3142.656
A100,Llama-3.3-70B,True,ffn,8,256,2048,0,8192,64,8,28672,1,1,11275.263
A100,Llama-3.3-70B,True,norm_pre,8,256,2048,0,8192,64,8,28672,1,1,546.815
A100,Llama-3.3-70B,True,norm_post,8,256,2048,0,8192,64,8,28672,1,1,534.528
A100,Llama-3.3-70B,True,attn,8,512,4096,0,8192,64,8,28672,1,1,6292.479
A100,Llama-3.3-70B,True,ffn,8,512,4096,0,8192,64,8,28672,1,1,22740.991
A100,Llama-3.3-70B,True,norm_pre,8,512,4096,0,8192,64,8,28672,1,1,1031.167
A100,Llama-3.3-70B,True,norm_post,8,512,4096,0,8192,64,8,28672,1,1,1018.88
A100,Llama-3.3-70B,True,attn,16,128,2048,0,8192,64,8,28672,1,1,3129.343
A100,Llama-3.3-70B,True,ffn,16,128,2048,0,8192,64,8,28672,1,1,11388.928
A100,Llama-3.3-70B,True,norm_pre,16,128,2048,0,8192,64,8,28672,1,1,546.815
A100,Llama-3.3-70B,True,norm_post,16,128,2048,0,8192,64,8,28672,1,1,535.552
A100,Llama-3.3-70B,True,attn,16,256,4096,0,8192,64,8,28672,1,1,6262.784
